Text,Cleaned_Text,Sentiment_Main,Platform,Country,User,Cleaned_Hashtags,Likes,Retweets,Engagement_Score,Timestamp,Year,Month,Day,Hour
 Enjoying a beautiful day at the park!              ,enjoying a beautiful day at the park,Neutral,Twitter, USA      , User123      ,"['nature', 'park']",30.0,15.0,60.0,2023-01-15 12:30:00,2023,1,15,12
 Traffic was terrible this morning.                 ,traffic was terrible this morning,Neutral,Twitter, Canada   , CommuterX    ,"['traffic', 'morning']",10.0,5.0,20.0,2023-01-15 08:45:00,2023,1,15,8
 Just finished an amazing workout! 💪               ,just finished an amazing workout 💪,Neutral,Instagram, USA        , FitnessFan   ,"['fitness', 'workout']",40.0,20.0,80.0,2023-01-15 15:45:00,2023,1,15,15
 Excited about the upcoming weekend getaway!        ,excited about the upcoming weekend getaway,Neutral,Facebook, UK       , AdventureX   ,"['travel', 'adventure']",15.0,8.0,31.0,2023-01-15 18:20:00,2023,1,15,18
 Trying out a new recipe for dinner tonight.        ,trying out a new recipe for dinner tonight,Neutral,Instagram, Australia , ChefCook     ,"['cooking', 'food']",25.0,12.0,49.0,2023-01-15 19:55:00,2023,1,15,19
 Feeling grateful for the little things in life.    ,feeling grateful for the little things in life,Neutral,Twitter, India    , GratitudeNow ,"['gratitude', 'positivevibes']",50.0,25.0,100.0,2023-01-16 09:10:00,2023,1,16,9
 Rainy days call for cozy blankets and hot cocoa.   ,rainy days call for cozy blankets and hot cocoa,Neutral,Facebook, Canada   , RainyDays    ,"['rainydays', 'cozy']",20.0,10.0,40.0,2023-01-16 14:45:00,2023,1,16,14
 The new movie release is a must-watch!             ,the new movie release is a mustwatch,Neutral,Instagram, USA    , MovieBuff    ,"['movienight', 'mustwatch']",30.0,15.0,60.0,2023-01-16 19:30:00,2023,1,16,19
 Political discussions heating up on the timeline.  ,political discussions heating up on the timeline,Neutral,Twitter, USA      , DebateTalk   ,"['politics', 'debate']",60.0,30.0,120.0,2023-01-17 08:00:00,2023,1,17,8
 Missing summer vibes and beach days.               ,missing summer vibes and beach days,Neutral,Facebook, Australia , BeachLover   ,"['summer', 'beachdays']",35.0,18.0,71.0,2023-01-17 12:20:00,2023,1,17,12
 Just published a new blog post. Check it out!      ,just published a new blog post check it out,Neutral,Instagram,USA, BloggerX     ,"['blogging', 'newpost']",45.0,22.0,89.0,2023-01-17 15:15:00,2023,1,17,15
 Feeling a bit under the weather today.             ,feeling a bit under the weather today,Neutral,Twitter, Canada   , WellnessCheck,"['sickday', 'health']",15.0,7.0,29.0,2023-01-18 10:30:00,2023,1,18,10
 Exploring the city's hidden gems.                  ,exploring the citys hidden gems,Neutral,Facebook, UK       , UrbanExplorer,"['cityexplore', 'hiddengems']",25.0,12.0,49.0,2023-01-18 14:50:00,2023,1,18,14
" New year, new fitness goals! 💪                    ",new year new fitness goals 💪,Neutral,Instagram, USA        , FitJourney   ,"['newyear', 'fitnessgoals']",55.0,28.0,111.0,2023-01-18 18:00:00,2023,1,18,18
 Technology is changing the way we live.            ,technology is changing the way we live,Neutral,Twitter, India    , TechEnthusiast,"['tech', 'innovation']",30.0,15.0,60.0,2023-01-19 09:45:00,2023,1,19,9
 Reflecting on the past and looking ahead.          ,reflecting on the past and looking ahead,Neutral,Facebook, USA      , Reflections  ,"['reflection', 'future']",40.0,20.0,80.0,2023-01-19 13:20:00,2023,1,19,13
 Just adopted a cute furry friend! 🐾              ,just adopted a cute furry friend 🐾,Neutral,Instagram, Canada    , PetAdopter   ,"['petadoption', 'furryfriend']",30.0,15.0,60.0,2023-01-19 17:10:00,2023,1,19,17
 Late-night gaming session with friends.            ,latenight gaming session with friends,Neutral,Twitter, UK       , GamerX       ,"['gaming', 'latenight']",35.0,18.0,71.0,2023-01-20 00:05:00,2023,1,20,0
 Attending a virtual conference on AI.              ,attending a virtual conference on ai,Neutral,Facebook,USA, TechConference,"['ai', 'techconference']",50.0,25.0,100.0,2023-01-20 11:30:00,2023,1,20,11
 Winter blues got me feeling low.                   ,winter blues got me feeling low,Neutral,Instagram, USA       , WinterBlues  ,"['winterblues', 'mood']",15.0,8.0,31.0,2023-01-20 15:15:00,2023,1,20,15
 Sipping coffee and enjoying a good book.           ,sipping coffee and enjoying a good book,Neutral,Twitter, India    , Bookworm     ,"['reading', 'coffeetime']",45.0,22.0,89.0,2023-01-21 08:40:00,2023,1,21,8
 Exploring the world of virtual reality.            ,exploring the world of virtual reality,Neutral,Facebook,USA, VRExplorer   ,"['vr', 'virtualreality']",30.0,15.0,60.0,2023-01-21 13:20:00,2023,1,21,13
 Productive day ticking off my to-do list.          ,productive day ticking off my todo list,Neutral,Instagram, USA , ProductivityPro,"['productivity', 'workfromhome']",60.0,30.0,120.0,2023-01-21 16:45:00,2023,1,21,16
 Just finished a challenging workout routine.       ,just finished a challenging workout routine,Neutral,Twitter, UK       , FitnessWarrior,"['fitness', 'challengeaccepted']",40.0,20.0,80.0,2023-01-22 09:15:00,2023,1,22,9
 Celebrating a milestone at work! 🎉               ,celebrating a milestone at work 🎉,Neutral,Facebook, Canada  , CareerMilestone,"['career', 'milestone']",25.0,12.0,49.0,2023-01-22 14:30:00,2023,1,22,14
 Sunday brunch with friends.                        ,sunday brunch with friends,Neutral,Instagram, UK , BrunchBuddy  ,"['brunch', 'friends']",30.0,15.0,60.0,2023-01-22 12:00:00,2023,1,22,12
 Learning a new language for personal growth.       ,learning a new language for personal growth,Neutral,Facebook, India     , LanguageLearner,"['languagelearning', 'personalgrowth']",50.0,25.0,100.0,2023-01-23 16:20:00,2023,1,23,16
 Quiet evening with a good book.                    ,quiet evening with a good book,Neutral,Instagram, Australia , BookLover    ,"['reading', 'quiettime']",30.0,15.0,60.0,2023-01-23 19:45:00,2023,1,23,19
 Reflecting on the importance of mental health.     ,reflecting on the importance of mental health,Neutral,Twitter, USA      , MentalHealthMatters,"['mentalhealth', 'selfcare']",45.0,22.0,89.0,2023-01-24 11:30:00,2023,1,24,11
 New painting in progress! 🎨                       ,new painting in progress 🎨,Neutral,Facebook, Canada , ArtistInAction,"['art', 'paintinginprogress']",25.0,12.0,49.0,2023-01-24 15:00:00,2023,1,24,15
 Weekend road trip to explore scenic views.         ,weekend road trip to explore scenic views,Neutral,Instagram, UK        , RoadTripper  ,"['roadtrip', 'scenicviews']",35.0,18.0,71.0,2023-01-24 17:30:00,2023,1,24,17
 Enjoying a cup of tea and watching the sunset.     ,enjoying a cup of tea and watching the sunset,Neutral,Twitter, India    , SunsetWatcher,"['teatime', 'sunset']",30.0,15.0,60.0,2023-01-25 18:00:00,2023,1,25,18
 Coding a new project with enthusiasm.              ,coding a new project with enthusiasm,Neutral,Facebook, USA , CodeEnthusiast,"['coding', 'enthusiasm']",60.0,30.0,120.0,2023-01-25 13:15:00,2023,1,25,13
 Feeling inspired after attending a workshop.       ,feeling inspired after attending a workshop,Neutral,Instagram,USA, WorkshopAttendee,"['inspiration', 'workshop']",50.0,25.0,100.0,2023-01-26 09:45:00,2023,1,26,9
 Winter sports day at the local park.               ,winter sports day at the local park,Neutral,Twitter, Canada   , WinterSports  ,"['wintersports', 'fun']",30.0,15.0,60.0,2023-01-26 14:20:00,2023,1,26,14
 Quality time with family this weekend.             ,quality time with family this weekend,Neutral,Facebook, UK        , FamilyTime   ,"['familytime', 'weekend']",45.0,22.0,89.0,2023-01-26 17:40:00,2023,1,26,17
 Attending a live music concert tonight.            ,attending a live music concert tonight,Neutral,Instagram, USA , MusicLover   ,"['music', 'concertnight']",35.0,18.0,71.0,2023-01-27 20:00:00,2023,1,27,20
 Practicing mindfulness with meditation.            ,practicing mindfulness with meditation,Neutral,Twitter, India    , MindfulMoments,"['mindfulness', 'meditation']",30.0,15.0,60.0,2023-01-27 12:30:00,2023,1,27,12
 Trying out a new dessert recipe.                   ,trying out a new dessert recipe,Neutral,Facebook, Canada , DessertExplorer,"['dessert', 'cooking']",25.0,12.0,49.0,2023-01-27 16:10:00,2023,1,27,16
 Excited about the upcoming gaming tournament.      ,excited about the upcoming gaming tournament,Neutral,Instagram,USA, GamingEnthusiast,"['gaming', 'tournament']",60.0,30.0,120.0,2023-01-28 09:00:00,2023,1,28,9
 Planning a garden makeover for spring.             ,planning a garden makeover for spring,Neutral,Twitter, USA      , GardenPlanner ,"['gardening', 'spring']",50.0,25.0,100.0,2023-01-28 14:45:00,2023,1,28,14
 Celebrating a friend's birthday tonight! 🎂       ,celebrating a friends birthday tonight 🎂,Neutral,Facebook, UK , BirthdayBash ,"['birthday', 'celebration']",30.0,15.0,60.0,2023-01-28 19:30:00,2023,1,28,19
 Feeling accomplished after a productive day.       ,feeling accomplished after a productive day,Neutral,Instagram, India , ProductivityWin,"['accomplished', 'success']",45.0,22.0,89.0,2023-01-29 17:00:00,2023,1,29,17
 A cozy evening with a good movie.                 ,a cozy evening with a good movie,Neutral,Twitter, Canada   , MovieNight   ,"['cozynight', 'movietime']",35.0,18.0,71.0,2023-01-29 20:20:00,2023,1,29,20
 Exploring local art galleries this weekend.        ,exploring local art galleries this weekend,Neutral,Facebook, USA      , ArtExplorer  ,"['art', 'galleryexplore']",30.0,15.0,60.0,2023-01-30 11:30:00,2023,1,30,11
 New book release from my favorite author!          ,new book release from my favorite author,Neutral,Instagram, UK   , BookwormX    ,"['bookrelease', 'favoriteauthor']",25.0,12.0,49.0,2023-01-30 15:45:00,2023,1,30,15
 Attending a virtual reality meetup.                ,attending a virtual reality meetup,Neutral,Twitter, India    , VRMeetup     ,"['vrmeetup', 'virtualreality']",55.0,28.0,111.0,2023-01-30 18:30:00,2023,1,30,18
 Reflecting on the beauty of nature.                ,reflecting on the beauty of nature,Neutral,Facebook, Australia , NatureLover  ,"['nature', 'reflection']",30.0,15.0,60.0,2023-01-31 10:45:00,2023,1,31,10
 Cooking a special dinner for loved ones.           ,cooking a special dinner for loved ones,Neutral,Instagram, USA       , ChefAtHome   ,"['cooking', 'specialdinner']",40.0,20.0,80.0,2023-01-31 19:00:00,2023,1,31,19
 Feeling optimistic about the week ahead.           ,feeling optimistic about the week ahead,Neutral,Twitter, Canada   , OptimisticMindset,"['optimism', 'newweek']",30.0,15.0,60.0,2023-01-31 16:20:00,2023,1,31,16
 Starting a new fitness challenge tomorrow! 💪     ,starting a new fitness challenge tomorrow 💪,Neutral,Facebook, UK         , FitnessChallenge,"['fitnesschallenge', 'newbeginnings']",45.0,22.0,89.0,2023-02-01 08:00:00,2023,2,1,8
 Sunday bike ride through scenic trails.           ,sunday bike ride through scenic trails,Neutral,Instagram, USA     , BikeExplorer  ,"['bikeride', 'scenictrails']",35.0,18.0,71.0,2023-02-01 13:30:00,2023,2,1,13
 Can't believe the injustice happening in our society.,cant believe the injustice happening in our society,Neutral,Twitter, Canada     , SocialJustice   ,"['injustice', 'angry']",40.0,20.0,80.0,2023-02-11 09:30:00,2023,2,11,9
 Feeling a sense of fear after watching a thriller movie. ,feeling a sense of fear after watching a thriller movie,Neutral,Instagram, USA          , ThrillerFan     ,"['fear', 'thrillermovie']",30.0,15.0,60.0,2023-02-11 21:15:00,2023,2,11,21
 Heartbroken after hearing the news about a natural disaster. ,heartbroken after hearing the news about a natural disaster,Negative,Facebook, India      , EmpathyFirst    ,"['sadness', 'naturaldisaster']",50.0,25.0,100.0,2023-02-12 14:45:00,2023,2,12,14
 The state of the world's environment is just disgusting. ,the state of the worlds environment is just disgusting,Neutral,Twitter, UK         , EcoAwareness    ,"['disgust', 'environment']",35.0,18.0,71.0,2023-02-12 18:20:00,2023,2,12,18
 Pure happiness: celebrating a loved one's achievement! ,pure happiness celebrating a loved ones achievement,Neutral,Instagram, USA , ProudFriend     ,"['happiness', 'celebration']",60.0,30.0,120.0,2023-02-13 10:00:00,2023,2,13,10
 Laughter is the best medicine—enjoying a comedy show. ,laughter is the best medicine—enjoying a comedy show,Neutral,Facebook, Canada    , ComedyFan       ,"['joy', 'comedyshow']",45.0,22.0,89.0,2023-02-13 19:30:00,2023,2,13,19
 Sharing love and positive vibes with everyone! ❤️      ,sharing love and positive vibes with everyone ❤️,Neutral,Twitter, Australia  , LoveSpreader    ,"['love', 'spreadlove']",30.0,15.0,60.0,2023-02-14 08:30:00,2023,2,14,8
 An amusing incident brightened up my day!               ,an amusing incident brightened up my day,Neutral,Instagram, UK           , AmusedSoul      ,"['amusement', 'funtimes']",35.0,18.0,71.0,2023-02-14 14:20:00,2023,2,14,14
 Enjoying a quiet evening with a book and some tea.      ,enjoying a quiet evening with a book and some tea,Positive,Facebook, Canada       , BookLoverAgain  ,"['enjoyment', 'booktime']",50.0,25.0,100.0,2023-02-14 19:45:00,2023,2,14,19
